Student,LPIPS,SSIM
112598016.jpg,0.0,1.0
110598039.jpg.png,0.4743971526622772,0.8022657588891964
112318080.jpg,0.5021507740020752,0.8367928182127383
111598079.jpg,0.5022868514060974,0.7778768303042702
111C52018.jpg,0.5060315132141113,0.8109219168083864
112318067.jpg,0.5182337164878845,0.8487759641401323
112598053.jpg,0.5184754133224487,0.8461462402894715
112598084.jpg,0.5189993381500244,0.8030978853289451
